category,n,oracle_part,global_mean,headroom,ratio,grey_frac,n_parts
airplane,200,20.607309730189886,24.258278511773998,3.650968781584112,0.8494959656839591,0.49,4
car,199,32.15983863520436,34.875804667734315,2.7159660325299555,0.9221246345882119,0.39195979899497485,4
chair,200,12.03664041400364,15.889314075111578,3.8526736611079375,0.7575305237912932,0.26,4
